question,label
전등 켜줘,S-OBJECT S-DO
전등 켜줄래,S-OBJECT S-DO
전등 켜,S-OBJECT S-DO
전등 좀 켜봐,S-OBJECT O S-DO
전등 좀 켜 주세요,S-OBJECT O S-DO O
전등 좀 켜줘,S-OBJECT O S-DO
전등 켜줘봐,S-OBJECT S-DO
전등 좀만 켜줘,S-OBJECT O S-DO
전등 좀 켜줘라 ㅋㅋ,S-OBJECT O S-DO O
전등 켜봐좀 좀,S-OBJECT S-DO O
전등 켜줘 ㅋㅋ,S-OBJECT S-DO O
전등 좀 키라니까?,S-OBJECT O S-DO
전등 좀 켜 주겠니?,S-OBJECT O S-DO O
전등 켜 주겠니?,S-OBJECT S-DO O
전등을 켜주세요,S-OBJECT S-DO
전등 켜주라,S-OBJECT S-DO
전등 켜라,S-OBJECT S-DO
전등을 켜주라,S-OBJECT S-DO
전등 좀 켜줄래?,S-OBJECT O S-DO
전등. 켜줄래?,S-OBJECT S-DO
전등 켜봐라,S-OBJECT S-DO
전등 제발 켜줘,S-OBJECT O S-DO
전등 좀 켜줘 ㅠㅠ,S-OBJECT O O S-DO
아 전등 좀 켜봐,O S-OBJECT O S-DO
아 전등 좀 키라니까?,O S-OBJECT O S-DO
아 전등 켜라,O S-OBJECT S-DO
아 전등 좀 켜봐라 진짜,O S-OBJECT O S-DO O
아 전등 좀 켜줘라,O S-OBJECT O S-DO
아 전등 켜 줘라 좀,O S-OBJECT S-DO O O
아 전등 제발 켜줘,O S-OBJECT O S-DO
제발 전등 켜 줘,O S-OBJECT S-DO O
제발 전등 좀 켜줘,O S-OBJECT O S-DO
제발 좀 전등 켜줘,O S-OBJECT O S-DO
제발 전등 켜,O S-OBJECT S-DO
제발 전등 좀 키라니까?,O S-OBJECT O S-DO
제발 전등 좀 켜봐,O S-OBJECT O S-DO
제발 전등 좀 켜줘,O S-OBJECT O S-DO
제발 전등 켜줘라,O S-OBJECT S-DO
빨리 전등 켜줘,O S-OBJECT S-DO
빨리 전등 좀 켜줘,O S-OBJECT O S-DO
빨리 전등 좀만 켜봐,O S-OBJECT O S-DO
빨리 전등 켜,O S-OBJECT S-DO
빨리 전등 켜라,O S-OBJECT S-DO
빨리 전등 좀 켜줘라,O S-OBJECT O S-DO
빨리 좀 전등 켜봐,O O S-OBJECT S-DO
이제 전등 켜,O S-OBJECT S-DO
이제 전등 켜도 좋아,O S-OBJECT S-DO O
이제 전등 켜줘,O S-OBJECT S-DO
이제 전등 켜줘도 돼,O S-OBJECT S-DO O
이제 전등 켜라,O S-OBJECT S-DO
이제 전등 켜주셈,O S-OBJECT S-DO
이제 전등 켜줘 ㅋㅋ,O S-OBJECT S-DO O
이제 전등 켜줘라,O S-OBJECT S-DO
이제 전등 켜 달라니까?,O S-OBJECT S-DO O
이제 전등 좀 켜 줄수 있겠니?,O S-OBJECT O S-DO O O
이제 전등 켜 줄수 있겠니?,O S-OBJECT S-DO O O
이제 전등 켜 주셈,O S-OBJECT S-DO O
이제 전등 켜줘라 ㅋㅋ,O S-OBJECT S-DO O
이제 좀 전등 켜주셈,O O S-OBJECT S-DO
이제 좀 전등 켜줘라,O O S-OBJECT S-DO
이제 좀 전등 켜 달라니까?,O O S-OBJECT S-DO O
이제 좀 전등 켜 달리니까,O O S-OBJECT S-DO O
이제 좀 전등 켜 줄 수 있냐?,O O S-OBJECT S-DO O O O
이제 좀 전등 켜봐라,O O S-OBJECT S-DO
이제 전등 좀 켜봐,O S-OBJECT O S-DO
이제 전등 좀 켜줘 ㅠㅠ,O S-OBJECT O S-DO O
이제 전등 켜 줄래?,O S-OBJECT S-DO O
불좀 켜줘,S-OBJECT S-DO
불 켜줄래,S-OBJECT S-DO
불 켜,S-OBJECT S-DO
불 좀 켜봐,S-OBJECT O S-DO
불 좀 켜 주세요,S-OBJECT O S-DO O
불 좀 켜줘,S-OBJECT O S-DO
불 켜줘봐,S-OBJECT S-DO
불 좀만 켜줘,S-OBJECT O S-DO
불 좀 켜줘라 ㅋㅋ,S-OBJECT O S-DO O
불 켜봐좀 좀,S-OBJECT S-DO O
불 켜줘 ㅋㅋ,S-OBJECT S-DO O
불 좀 키라니까?,S-OBJECT O S-DO
불 좀 켜 주겠니?,S-OBJECT O S-DO O
불 켜 주겠니?,S-OBJECT S-DO O
불을 켜주세요,S-OBJECT S-DO
불 켜주라,S-OBJECT S-DO
불 켜라,S-OBJECT S-DO
불을 켜주라,S-OBJECT S-DO
불 좀 켜줄래?,S-OBJECT O S-DO
불. 켜줄래?,S-OBJECT S-DO
불 켜봐라,S-OBJECT S-DO
