question,label
블라인드 꺼줘,S-OBJECT S-DO
블라인드 꺼,S-OBJECT S-DO
블라인드 꺼봐,S-OBJECT S-DO
블라인드 꺼줘봐,S-OBJECT S-DO
블라인드 꺼라,S-OBJECT S-DO
블라인드 꺼주세요,S-OBJECT S-DO
블라인드 오프,S-OBJECT S-DO
블라인드 꺼봐라,S-OBJECT S-DO
블라인드 꺼줄래,S-OBJECT S-DO
블라인드 좀 꺼줘,S-OBJECT O S-DO
블라인드 좀 꺼봐,S-OBJECT O S-DO
블라인드 좀 꺼봐 좀,S-OBJECT O S-DO O
블라인드 좀 꺼 주세요,S-OBJECT O S-DO O
블라인드 좀 꺼 줘라,S-OBJECT O S-DO O
블라인드 좀 꺼 줘요,S-OBJECT O S-DO O
블라인드 좀 꺼 주셈,S-OBJECT O S-DO O
블라인드 좀 꺼 줘,S-OBJECT O S-DO O
블라인드 좀 꺼 줘라,S-OBJECT O S-DO O
블라인드 좀 꺼라 좀,S-OBJECT O S-DO O
블라인드 좀 꺼봐,S-OBJECT O S-DO
블라인드 꺼줄래?,S-OBJECT S-DO
블라인드 좀 꺼줄래?,S-OBJECT O S-DO
블라인드 좀 꺼줘라 ㅋㅋ,S-OBJECT O S-DO O
블라인드 좀 꺼 줘 ㅋㅋ,S-OBJECT O S-DO O O
블라인드 꺼 줘 ㅋㅋ,S-OBJECT S-DO O O
블라인드 꺼봐라,S-OBJECT S-DO
블라인드 꺼줘,S-OBJECT S-DO
블라인드 꺼,S-OBJECT S-DO
블라인드 꺼봐,S-OBJECT S-DO
블라인드 꺼줘봐,S-OBJECT S-DO
블라인드 꺼라,S-OBJECT S-DO
블라인드 꺼주세요,S-OBJECT S-DO
블라인드 오프,S-OBJECT S-DO
블라인드 꺼봐라,S-OBJECT S-DO
블라인드 좀 꺼줘,S-OBJECT O S-DO
블라인드 좀 꺼봐,S-OBJECT O S-DO
블라인드 좀 꺼봐 좀,S-OBJECT O S-DO O
블라인드 꺼줄래,S-OBJECT S-DO
블라인드 좀 꺼 주세요,S-OBJECT O S-DO O
